chunk_info,implementation,n_features,n_neighbors,n_samples_test,n_samples_train,throughput,time_elapsed,trial
"(0, nan)",sklearn,50.0,1.0,1000.0,100000.0,0.02950886726853069,1.36908,0.0
"(0, nan)",sklearn,50.0,10.0,1000.0,100000.0,0.017485695489209942,2.31046,0.0
"(0, nan)",sklearn,50.0,100.0,1000.0,100000.0,0.017537386321706854,2.30365,0.0
"(0, nan)",daal4py,50.0,1.0,1000.0,100000.0,0.1445283153865417,0.27953,0.0
"(0, nan)",daal4py,50.0,10.0,1000.0,100000.0,0.15725351290335135,0.25691,0.0
"(0, nan)",daal4py,50.0,100.0,1000.0,100000.0,0.12878135857957987,0.31371,0.0
"(128, 782)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.09964728806452408,0.40543,0.0
"(256, 391)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.1369770122736828,0.29494,0.0
"(512, 196)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.1406587285008008,0.28722,0.0
"(1024, 98)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.1263329059695425,0.31979,0.0
"(2048, 49)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.11761623336923926,0.34349,0.0
"(4096, 25)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.08508845829823082,0.4748,0.0
"(128, 782)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.12025241100130969,0.33596,0.0
"(256, 391)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.1366203374928139,0.29571,0.0
"(512, 196)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.13851745182747036,0.29166,0.0
"(1024, 98)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.13773353334242464,0.29332,0.0
"(2048, 49)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.13018819283320443,0.31032,0.0
"(4096, 25)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.10077326016462959,0.4009,0.0
"(128, 782)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.09855341155807089,0.40993,0.0
"(256, 391)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10842144812409425,0.37262,0.0
"(512, 196)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10453322293521011,0.38648,0.0
"(1024, 98)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10588944512882342,0.38153,0.0
"(2048, 49)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.09990849964141751,0.40437,0.0
"(4096, 25)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.07678272768739547,0.52616,0.0
"(128, 8)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.12060061494372966,0.33499,0.0
"(256, 4)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.1366850492269175,0.29557,0.0
"(512, 2)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.1400735039178975,0.28842,0.0
"(1024, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.07382771097547604,0.54722,0.0
"(2048, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.07258484701485833,0.55659,0.0
"(4096, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.0612260362203531,0.65985,0.0
"(128, 8)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.1271960204017379,0.31762,0.0
"(256, 4)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.14062935115566694,0.28728,0.0
"(512, 2)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.13699559172600884,0.2949,0.0
"(1024, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.07263704849062372,0.55619,0.0
"(2048, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.07150569036620118,0.56499,0.0
"(4096, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.06075370687840236,0.66498,0.0
"(128, 8)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11525404387641572,0.35053,0.0
"(256, 4)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.12082785022131835,0.33436,0.0
"(512, 2)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11226900097262747,0.35985,0.0
